Experience Years,Salary
0.5,32000
0.8,35000
1.0,38000
1.1,39343
1.2,42774
1.3,46205
1.5,37731
1.7,41000
1.9,43000
2.0,43525
2.2,39891
2.4,47000
2.5,48266
2.7,52000
2.9,56642
3.0,60150
3.1,53000
3.2,54445
3.2,64445
3.4,58000
3.5,60000
3.7,57189
3.8,60200
3.9,63218
4.0,55794
4.0,56957
4.1,57081
4.3,59095
4.5,61111
4.7,64500
4.9,67938
5.0,70000
5.1,66029
5.3,83088
5.5,82200
5.7,79000
5.9,81363
6.0,93940
6.2,91000
6.5,90000
6.8,91738
7.0,95000
7.1,98273
7.5,100000
7.9,101302
8.0,108000
8.2,113812
8.5,111620
8.7,109431
9.0,105582
9.3,115000
9.5,116969
9.6,112635
10.0,120000
10.3,122391
10.5,121872
11.0,128000
11.5,132000
12.0,138000
13.0,145000
14.0,152000
15.0,160000
